Candidate,Incumbent,State,Office,District,Stance,Source,URL,Note,Won or Lost their Race ,Dem or Rep State ,The FiveThirtyEight partisan lean of every state
Mark Gonsalves,No,Georgia,Representative,7,Fully denied,Twitter,https://archive.ph/jan8s,,Not Elected,Biden,7.4
Austin Scott,Yes,Georgia,Representative,8,Accepted with reservations,"Supreme Court amicus brief, congressional roll call, email to FiveThirtyEight",https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected,Biden,7.4
Andrew Clyde,Yes,Georgia,Representative,9,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,,Elected,Biden,7.4
Mike Collins,No,Georgia,Representative,10,Fully denied,Email to FiveThirtyEight,,,Elected,Biden,7.4
Barry Loudermilk,Yes,Georgia,Representative,11,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,,Elected,Biden,7.4
Rick W. Allen,Yes,Georgia,Representative,12,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,,Elected ,Biden,7.4
Caesar Gonzales,No,Georgia,Representative,13,Fully denied,Twitter,https://archive.ph/3Hq4j,,Not Elected,Biden,7.4
Marjorie Taylor Greene,Yes,Georgia,Representative,14,Fully denied,Rome News-Tribune,https://www.northwestgeorgianews.com/rome/news/local/who-won-the-2020-presidential-election-nw-ga-gop-congressional-candidates-weigh-in/article_44bcf808-c969-11ec-b4bb-ffdc53126a37.html,,Elected,Biden,7.4
Brian Kemp,Yes,Georgia,Governor,N/A,Accepted with reservations,Kemp press,https://gov.georgia.gov/press-releases/2020-11-23/governor-kemp-formalizes-election-certification-calls-signature-audit,,Elected,Biden,7.4
Chris Carr,Yes,Georgia,Attorney general,N/A,Fully accepted,Associated Press,https://apnews.com/article/2022-midterm-elections-biden-georgia-atlanta-ed377de9fb954300c17d22daf301288a,,Elected ,Biden,7.4
Brad Raffensperger,Yes,Georgia,Secretary of state,N/A,Fully accepted,Capitol Beat,http://capitol-beat.org/2022/06/secretary-of-state-brad-raffensperger-other-georgians-testify-before-jan-6-committee/,,Elected,Biden,7.4
Bob McDermott,No,Hawaii,Senator,N/A,Avoided answering,Email to FiveThirtyEight,,,Not Elected,Biden,-31.6
Conrad Kress,No,Hawaii,Representative,1,No comment,,,,Not Elected,Biden,-31.6
Joe Akana,No,Hawaii,Representative,2,Raised questions,Facebook,https://archive.ph/FkRfT,,Not Elected,Biden,-31.6
Duke Aiona,No,Hawaii,Governor,N/A,No comment,,,,Not Elected,Biden,-31.6
Mike Crapo,Yes,Idaho,Senator,N/A,Accepted with reservations,"Crapo press, congressional roll call",https://archive.ph/PLQjv,,Elected,Trump ,-37
Russ Fulcher,Yes,Idaho,Representative,1,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected ,Trump ,-37
Mike Simpson,Yes,Idaho,Representative,2,Accepted with reservations,"Simpson press, congressional roll call",https://archive.ph/cJOt0,,Elected ,Trump ,-37
Brad Little,Yes,Idaho,Governor,N/A,Fully denied,Little press,https://archive.ph/92EdF,,Elected,Trump ,-37
Raul R. Labrador,No,Idaho,Attorney general,N/A,Fully denied,Idaho Capital Sun,https://idahocapitalsun.com/2022/07/26/longtime-boise-attorney-replaces-democratic-candidate-for-idaho-attorney-general/,,Elected,Trump ,-37
Phil McGrane,No,Idaho,Secretary of state,N/A,Accepted with reservations,Idaho Statesman,https://www.idahostatesman.com/news/politics-government/state-politics/article260792482.html,,Elected,Trump ,-37
Kathy Salvi,No,Illinois,Senator,N/A,Accepted with reservations,The Daily Herald,https://www.dailyherald.com/news/20220528/kathy-salvi-2022-candidate-for-us-senate,,Not Elected,Biden,-13.4
